店舗名,カテゴリ,メニュー名,カロリー,たんぱく質 (g),脂質 (g),炭水化物 (g)
マクドナルド,バーガー,えびフィレオ®,408,11.4,18.6,5.12
マクドナルド,バーガー,てりやきチキンフィレオ,496,20.1,23.0,6.74
マクドナルド,バーガー,てりやきマックバーガー,485,14.2,31.3,9.51
マクドナルド,バーガー,エグチ(エッグチーズバーガー),390,22.4,19.0,7.84
マクドナルド,バーガー,エッグマックマフィン®,310,18.6,13.6,4.75
マクドナルド,バーガー,ジューシーチキン 旨辛ガーリック,477,17.4,24.1,6.89
マクドナルド,バーガー,ソーセージエッグマフィン,477,22.0,30.6,10.87
マクドナルド,バーガー,ソーセージマフィン,397,15.5,25.1,9.45
マクドナルド,バーガー,タルタルデミソーセージマフィン,491,16.7,31.7,10.37
マクドナルド,バーガー,タルタルデミ肉厚ビーフ,473,22.3,25.8,9.96
マクドナルド,バーガー,タルタルデミ倍肉厚ビーフ,640,35.2,38.7,15.85
マクドナルド,バーガー,ダブルチーズバーガー,459,26.4,25.1,12.11
マクドナルド,バーガー,チーズバーガー,310,15.9,13.5,6.41
マクドナルド,バーガー,チキチー® (マックチキン® チーズ),436,16.4,23.6,7.8
マクドナルド,バーガー,チキンフィレオ®,479,19.9,23.8,6.7
マクドナルド,バーガー,チキンマックマフィン,401,15.1,20.8,5.46
マクドナルド,バーガー,ハンバーガー,259,13.0,9.5,4.01
マクドナルド,バーガー,バターパット,60,0.0,6.6,4.07
マクドナルド,バーガー,ビッグマック®,524,26.1,28.0,10.77
マクドナルド,バーガー,フィレオフィッシュ®,338,15.1,14.2,4.48
マクドナルド,バーガー,ベーコンエッグマックサンド,294,16.3,12.6,4.89
マクドナルド,バーガー,ベーコンレタスバーガー,362,17.5,19.4,7.31
マクドナルド,バーガー,ホットケーキ,323,8.3,9.3,1.86
マクドナルド,バーガー,ホットケーキシロップ,121,0.0,0.0,0
マクドナルド,バーガー,マックグリドル® ソーセージ,414,10.5,23.4,9.06
マクドナルド,バーガー,マックグリドル® ソーセージエッグ,545,19.8,32.9,12.89
マクドナルド,バーガー,マックグリドル® ベーコンエッグ,382,15.6,16.7,7.01
マクドナルド,バーガー,マックチキン®,386,13.5,19.6,5.39
マクドナルド,バーガー,マックポーク®,409,14.8,23.8,8.57
マクドナルド,バーガー,メガマフィン,693,30.0,49.3,17.56
マクドナルド,バーガー,倍えびフィレオ,582,17.5,26.7,8.53
マクドナルド,バーガー,倍てりやきチキンフィレオ,769,35.0,36.4,11.73
マクドナルド,バーガー,倍てりやきマックバーガー,747,23.3,52.9,17.27
マクドナルド,バーガー,倍エグチ(倍エッグチーズバーガー),489,29.9,26.6,11.13
マクドナルド,バーガー,倍ダブルチーズバーガー,657,41.6,40.3,18.71
マクドナルド,バーガー,倍チーズバーガー,409,23.5,21.1,9.71
マクドナルド,バーガー,倍チキチー(倍マックチキン チーズ),599,24.8,33.5,11.45
マクドナルド,バーガー,倍チキンフィレオ,725,34.6,37.1,11.7
マクドナルド,バーガー,倍ハンバーガー,358,20.6,17.1,7.3
マクドナルド,バーガー,倍ビッグマック,722,41.3,43.2,17.37
